,AGE,CAP_HIT,DATE,EXTENSION,LENGTH,PLAYER,POS,STRUCTURE,TEAM,TYPE,VALUE,id
181,31,2500000,2017,0,1,Chad Johnson,G,1-way,BUF,Stnd (UFA),2500000,ChadJohnson2017
182,32,1750000,2018,0,1,Chad Johnson,G,1-way,STL,Stnd (UFA),1750000,ChadJohnson2018
183,28,1100000,2022,0,3,Charlie Lindgren,G,1-way,WSH,Stnd (UFA),3300000,CharlieLindgren2022
184,35,900000,2016,0,1,Chris Kelly,"C, LW",1-way,OTT,35+ (UFA),900000,ChrisKelly2016
185,36,1250000,2018,0,1,Chris Kelly,"C, LW",1-way,ANA,35+ (UFA),1525000,ChrisKelly2018
186,37,2000000,2017,0,1,Chris Kunitz,"RW, LW",1-way,TBL,35+ (UFA),3000000,ChrisKunitz2017
187,38,1000000,2018,0,1,Chris Kunitz,"RW, LW",1-way,CHI,35+ (UFA),1000000,ChrisKunitz2018
188,36,1250000,2012,0,1,Chris Mason,G,1-way,NSH,35+ (UFA),1250000,ChrisMason2012
189,27,1700000,2015,0,1,Chris Stewart,"RW, LW",1-way,ANA,Stnd (UFA),1700000,ChrisStewart2015
190,31,753757,2019,0,1,Chris Stewart,"RW, LW",1-way,PHI,Stnd (UFA),750000,ChrisStewart2019
191,25,550000,2013,0,1,Chris Summers,LD,1-way,ARI,Stnd (UFA),550000,ChrisSummers2013
192,34,900000,2017,0,2,Chris Thorburn,"RW, LW",1-way,STL,Stnd (UFA),1800000,ChrisThorburn2017
193,31,4000000,2014,0,1,Christian Ehrhoff,LD,1-way,PIT,Stnd (UFA),4000000,ChristianEhrhoff2014
194,32,1500000,2015,0,1,Christian Ehrhoff,LD,1-way,LAK,Stnd (UFA),1500000,ChristianEhrhoff2015
195,26,850000,2017,0,1,Christian Folin,RD,1-way,LAK,Stnd (UFA),850000,ChristianFolin2017
196,27,800000,2018,0,1,Christian Folin,RD,1-way,PHI,Stnd (UFA),800000,ChristianFolin2018
197,30,4500000,2020,0,4,Christopher Tanev,RD,1-way,CGY,Stnd (UFA),18000000,ChristopherTanev2020
198,27,1250000,2018,0,2,Chris Wagner,"RW, C",1-way,BOS,Stnd (UFA),2500000,ChrisWagner2018
199,31,750000,2021,0,1,Chris Wideman,RD,1-way,MTL,Stnd (UFA),750000,ChrisWideman2021
200,31,550000,2013,0,1,Chuck Kobasew,RW,1-way,PIT,Stnd (UFA),550000,ChuckKobasew2013
201,28,3250000,2013,0,2,Clarke MacArthur,LW,1-way,OTT,Stnd (UFA),6500000,ClarkeMacArthur2013
